1,1995,8.3,81,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,191796233,USA,30000000
4474,1988,6.8,123,Garry Marshall,Bette Midler|Barbara Hershey|John Heard,57041866,USA,0
4475,1988,7.4,111,Kevin Reynolds,George Dzundza|Jason Patric|Steven Bauer,161004,USA,0
4477,1988,4.9,86,Randal Kleiser,Paul Reubens|Penelope Ann Miller|Kris Kristofferson,15122324,USA,0
4478,1988,6.6,106,Mike Nichols,Matthew Broderick|Christopher Walken|Matt Mulhern,43184798,USA,20000000
4479,1988,7.2,161,Clint Eastwood,Forest Whitaker|Diane Venora|Michael Zelniker,2181286,USA,9000000
4480,1988,6.4,95,Chuck Russell,Shawnee Smith|Kevin Dillon|Donovan Leitch Jr.,8247943,USA,19000000
4482,1988,5.6,107,James Bridges,Michael J. Fox|Kiefer Sutherland|Phoebe Cates,16118077,USA,25000000
4483,1988,3.6,98,Allan Arkush,Jackie Mason|Robert Stack|Dyan Cannon,11798302,USA,20000000
4486,1988,6.7,124,Glenn Gordon Caron,Michael Keaton|Kathy Baker|Morgan Freeman,8674093,USA,0
4487,1988,5.8,104,Roger Donaldson,Tom Cruise|Bryan Brown|Elisabeth Shue,78222753,USA,20000000
4488,1988,6.7,120,Dennis Hopper,Sean Penn|Robert Duvall|Maria Conchita Alonso,46616067,USA,6000000
4489,1988,7.0,116,John Landis,Eddie Murphy|Arsenio Hall|James Earl Jones,128152301,USA,39000000
4490,1988,5.7,97,Michael Ritchie,Dan Aykroyd|Walter Matthau|Charles Grodin,11005304,USA,19000000
4491,1988,5.7,117,Martin Campbell,Gary Oldman|Kevin Bacon|Tess Harper,9974446,USA,0
4492,1986,6.0,82,Stephen Herek,Dee Wallace|M. Emmet Walsh|Billy Green Bush,13167232,USA,2000000
4493,1988,5.3,86,Mick Garris,Scott Grimes|Liane Curtis|Terrence Mann,3813293,USA,4500000
4495,1988,6.9,97,Joan Micklin Silver,Amy Irving|Peter Riegert|Reizl Bozyk,16262415,USA,4000000
4496,1988,6.1,96,"Annabel Jankel,",Dennis Quaid|Meg Ryan|Charlotte Rampling,12706478,USA,0
4498,1988,6.3,91,Buddy Van Horn,Clint Eastwood|Liam Neeson|Patricia Clarkson,37903295,USA,31000000
4499,1988,7.3,110,Frank Oz,Steve Martin|Michael Caine|Glenne Headly,42039085,USA,0
4500,1988,7.3,118,Peter Greenaway,Bernard Hill|Joan Plowright|Juliet Stevenson,424773,UK,0
4501,1988,6.4,96,James Signorelli,Cassandra Peterson|Phil Rubenstein|Larry Flash Jenkins,5596267,USA,7500000
4502,1988,5.5,95,John R. Cherry III (as John Cherry),Jim Varney|Douglas Seale|Oliver Clark,28202109,USA,6000000
4503,1988,6.2,127,Taylor Hackford,Jessica Lange|Dennis Quaid|Timothy Hutton,12638294,USA,0
4506,1988,6.9,120,Roman Polanski,Harrison Ford|Betty Buckley|Emmanuelle Seigner,17637950,USA,20000000
4508,1988,7.0,129,Michael Apted,Sigourney Weaver|Bryan Brown|Julie Harris,24720479,USA,22000000
4509,1988,6.6,91,Howard Deutch,Dan Aykroyd|John Candy|Stephanie Faracy,41455230,USA,24000000
4511,1988,5.7,99,Neil Jordan,Peter O'Toole|Daryl Hannah|Steve Guttenberg,8578231,Ireland,17000000
4515,1988,7.9,100,Andrew Solt,John Lennon|Yoko Ono|Paul McCartney,3753977,USA,0
4516,1988,4.5,91,Bud S. Smith (as Bud Smith),Anthony Michael Hall|Robert Downey Jr.|Paul Gleason,17550399,USA,22000000
4518,1988,5.8,93,Ken Russell,Amanda Donohoe|Hugh Grant|Catherine Oxenberg,1189315,UK,2500000
4519,1988,7.3,69,Don Bluth,Pat Hingle|Gabriel Damon|Judith Barsi,48092846,USA,12500000
4520,1988,6.3,88,Greg Beeman,Corey Haim|Corey Feldman|Carol Kane,22433275,USA,8000000
4521,1988,6.0,98,Richard Benjamin,Sidney Poitier|River Phoenix|Richard Jenkins,1733070,USA,15000000
4522,1988,6.0,0,Bob Swaim,Rob Lowe|Meg Tilly|Kim Cattrall,15855828,USA,0
4523,1988,6.9,117,Robert Redford,Rubén Blades|Richard Bradford|Sonia Braga,13825794,USA,22000000
4524,1988,5.9,103,Paul Mazursky,Richard Dreyfuss|Raul Julia|Sonia Braga,11444204,USA,20000000
4526,1988,5.2,105,Richard Benjamin,Dan Aykroyd|Kim Basinger|Jon Lovitz,13854000,USA,20000000
4527,1988,5.5,90,William Richert,River Phoenix|Ann Magnuson|Meredith Salenger,6264058,USA,0
4528,1988,6.2,102,Christopher Crowe,Willem Dafoe|Gregory Hines|Fred Ward,7242035,USA,0
4529,1987,7.5,95,Percy Adlon,Marianne Sägebrecht|CCH Pounder|Jack Palance,3587303,West,0
4531,1988,6.0,104,Walter Hill,Arnold Schwarzenegger|James Belushi|Peter Boyle,34994648,USA,29000000
4532,1988,5.8,89,Ken Wiederhorn,James Karen|Thom Mathews|Michael Kenworthy,9205924,USA,6200000
4533,1985,7.3,91,Dan O'Bannon,Clu Gulager|James Karen|Don Calfa,0,USA,4000000
4534,1988,6.6,110,Geoff Burrowes,Tom Burlinson|Sigrid Thornton|Brian Dennehy,13687027,Australia,0
4535,1982,7.3,102,George Miller,Kirk Douglas|Tom Burlinson|Terence Donovan,0,Australia,3500000
4537,1988,7.7,116,Sidney Lumet,River Phoenix|Christine Lahti|Judd Hirsch,2835116,USA,3000000
4538,1988,6.6,89,Ken Russell,Glenda Jackson|Stratford Johns|Nickolas Grace,331469,UK,0
4539,1988,4.8,98,Boaz Davidson,Draco Rosa|Rodney Harvey|Magali Alvarado,8892589,USA,0
4541,1988,6.5,98,Wes Craven,Bill Pullman|Cathy Tyson|Zakes Mokae,19595031,USA,7000000
4543,1988,6.8,110,Roger Spottiswoode,Sidney Poitier|Tom Berenger|Kirstie Alley,29300090,USA,0
4544,1988,5.6,110,Kenneth Johnson,Fisher Stevens|Michael McKean|Tim Blaney,21630088,USA,0
4545,1986,6.6,98,John Badham,Ally Sheedy|Steve Guttenberg|Fisher Stevens,40697761,USA,0
4546,1988,7.8,107,George Sluizer,Bernard-Pierre Donnadieu|Gene Bervoets|Johanna ter Steege,0,Netherlands,0
4550,1988,5.9,105,Ted Kotcheff,Kathleen Turner|Burt Reynolds|Christopher Reeve,9129999,USA,18000000
4552,1989,7.0,67,Shin'ya Tsukamoto,Kei Fujiwara|Tomorô Taguchi|Nobu Kanaoka,0,Japan,0
4553,1988,7.3,94,John Carpenter,Roddy Piper|Keith David|Meg Foster,13008928,USA,4000000
4555,1988,7.7,120,Paul Bogart,Anne Bancroft|Matthew Broderick|Harvey Fierstein,4865997,USA,0
4557,1988,6.9,110,Francis Ford Coppola,Jeff Bridges|Joan Allen|Martin Landau,19652638,USA,23000000
4558,1988,6.0,107,Ivan Reitman,Arnold Schwarzenegger|Danny DeVito|Kelly Preston,111936400,USA,15000000
4559,1988,5.7,98,Brian Gilbert,Judge Reinhold|Fred Savage|Corinne Bohrer,13664060,USA,0
4560,1988,5.3,91,Jon Hess,Corey Haim|Michael Ironside|Christopher Cary,940173,Canada,0
4561,1988,6.2,95,Anthony Hickox,Zach Galligan|Deborah Foreman|Jennifer Bassey,808114,USA,0
4562,1988,7.0,107,Thom Eberhardt,Michael Caine|Ben Kingsley|Jeffrey Jones,8539181,UK,0
4563,1988,5.0,91,Yahoo Serious,Yahoo Serious|Odile Le Clezio|John Howard,11536599,Australia,0
4564,1989,6.4,122,Steven Spielberg,Richard Dreyfuss|Holly Hunter|Brad Johnson,43858790,USA,31000000
4565,1985,5.4,95,Sam Firstenberg,Michael Dudikoff|Steve James|Judie Aronson,0,USA,1000000
4566,1987,4.8,90,Sam Firstenberg,Michael Dudikoff|Steve James|Larry Poindexter,4000000,USA,350000
4567,1989,3.4,89,Cedric Sundstrom,David Bradley|Steve James|Marjoe Gortner,902152,USA,0
4568,1989,6.4,97,Robert Radler (as Bob Radler),Eric Roberts|James Earl Jones|Sally Kirkland,1700000,USA,5000000
4569,1993,5.4,101,Robert Radler,Eric Roberts|Phillip Rhee|Chris Penn,6607218,USA,0
4570,1989,6.3,100,Christopher Guest,Kevin Bacon|Jennifer Jason Leigh|Emily Longstreth,117463,USA,5000000
4571,1989,6.9,90,Stephen Herek,Keanu Reeves|Alex Winter|George Carlin,40485039,USA,10000000
4572,1989,6.6,125,Ridley Scott,Michael Douglas|Andy Garcia|Ken Takakura,45645204,USA,30000000
4573,1989,5.9,120,Ron Shelton,Paul Newman|Lolita Davidovich|Jerry Hardin,19131246,USA,0
4577,1989,7.1,113,Brian De Palma (as Brian DePalma),Michael J. Fox|Sean Penn|Don Harvey,18671317,USA,22500000
4578,1989,6.4,108,Emile Ardolino,Cybill Shepherd|Robert Downey Jr.|Ryan O'Neal,16278590,USA,16000000
4584,1989,5.9,114,Marc Rocco,Corey Feldman|Jason Robards|Piper Laurie,5552441,USA,0
4585,1989,6.5,113,Howard Zieff,Michael Keaton|Christopher Lloyd|Peter Boyle,28890240,USA,15000000
4587,1988,5.2,100,Julien Temple,Geena Davis|Jeff Goldblum|Jim Carrey,3916303,UK,10000000
4589,1983,6.9,95,Martin Davidson,Tom Berenger|Michael Paré|Joe Pantoliano,0,USA,0
4590,1989,6.8,119,Paul Mazursky,Ron Silver|Anjelica Huston|Lena Olin,7754571,USA,0
4591,1989,6.2,107,Terry Jones,Tim Robbins|John Cleese|Mickey Rooney,1932642,UK,0
4592,1989,4.6,94,Dave Thomas,John Travolta|Arye Gross|Kelly Preston,169203,Canada,0
4593,1989,5.7,110,Sidney Lumet,Sean Connery|Dustin Hoffman|Matthew Broderick,12195695,USA,0
4600,1989,6.1,0,Thom Eberhardt,Matthew Modine|Daphne Zuniga|Christine Lahti,11604598,USA,0
4602,1989,5.9,116,Eddie Murphy,Eddie Murphy|Richard Pryor|Redd Foxx,60864870,USA,30000000
4603,1989,5.7,94,Bruce Beresford,Tom Selleck|Paulina Porizkova|William Daniels,18699037,USA,0
4605,1989,7.0,90,Bruce Robinson,Richard E. Grant|Rachel Ward|Richard Wilson,418053,UK,0
4606,1989,6.1,95,Jonathan Kaplan,Glenn Close|James Woods|Mary Stuart Masterson,5932613,USA,14000000
4608,1989,6.4,113,Peter Yates,Tom Selleck|F. Murray Abraham|Laila Robins,20047604,USA,0
4610,1989,5.6,97,Pat O'Connor,Kevin Kline|Mary Elizabeth Mastrantonio|Susan Sarandon,4611062,USA,0
4612,1989,7.5,118,Denys Arcand,Lothaire Bluteau|Catherine Wilkening|Johanne-Marie Tremblay,1601612,Canada,0
4614,1989,6.4,97,"Mark DiSalle,",Jean-Claude Van Damme|Dennis Alexio|Dennis Chan,14697005,USA,1500000
4615,1989,6.9,102,Uli Edel,Jennifer Jason Leigh|Stephen Lang|Burt Young,1730005,USA,0
4616,1989,7.4,108,John G. Avildsen,Morgan Freeman|Beverly Todd|Robert Guillaume,31906454,USA,10000000
4617,1989,6.9,90,Joe Pytka,Richard Dreyfuss|Teri Garr|David Johansen,4973285,USA,18000000
4618,1989,5.8,98,George P. Cosmatos,Peter Weller|Richard Crenna|Amanda Pays,15704614,USA,25000000
4619,1989,6.1,100,Richard Greenberg (as Richard Alan Greenberg),Fred Savage|Howie Mandel|Daniel Stern,793775,USA,20
4621,1989,5.8,93,Amy Heckerling,John Travolta|Kirstie Alley|Olympia Dukakis,140088813,USA,7500000
4622,1989,5.9,98,Joan Micklin Silver,Patrick Dempsey|Kate Jackson|Robert Ginty,3960327,USA,0
4623,1989,7.2,107,David S. Ward (as David Ward),Tom Berenger|Charlie Sheen|Corbin Bernsen,49797148,USA,11000000
4624,1989,6.7,97,Peter Jackson,Danny Mulheron|Donna Akersten|Stuart Devenie,0,New,750000
4625,1989,5.7,108,Michael Anderson,Kris Kristofferson|Cheryl Ladd|Daniel J. Travanti,5777099,USA,0
4626,1988,7.0,87,Steve De Jarnatt,Anthony Edwards|Mare Winningham|John Agar,1145404,USA,3700000
4627,1989,6.1,102,Thomas Schlamme,Holly Hunter|Mary Steenburgen|Tim Robbins,1852655,USA,0
4628,1989,6.4,124,"Woody Allen,",Woody Allen|Nick Nolte|Rosanna Arquette,10763469,USA,15000000
4629,1989,5.7,108,John Irvin,Patrick Swayze|Liam Neeson|Adam Baldwin,15942628,USA,12000000
4630,1989,4.3,93,Thomas J. Wright,Hulk Hogan|Joan Severance|Kurt Fuller,16093651,USA,8000000
4632,1989,6.4,108,Andrew Davis,Gene Hackman|Tommy Lee Jones|Joanna Cassidy,10647219,USA,18000000
4634,1989,5.9,89,Arthur Penn,Penn Jillette|Teller|Caitlin Clarke,0,USA,0
4636,1989,5.7,89,Mark Goldblatt,Dolph Lundgren|Louis Gossett Jr.|Jeroen Krabbé,0,Australia,9000000
4638,2001,5.9,92,Joe Johnston,Sam Neill|William H. Macy|Téa Leoni,181166115142001,USA,93000000
4639,2001,5.7,102,Joe Roth,Julia Roberts|John Cusack|Billy Crystal,93607673262001,USA,46000000
4640,2000,7.2,114,Takeshi Kitano,Takeshi Kitano|Claude Maki|Omar Epps,447750282001,USA,10000000
4641,2001,7.4,111,Terry Zwigoff,Steve Buscemi|Thora Birch|Scarlett Johansson,620075612002,USA,7000000
4642,2001,7.8,95,John Cameron Mitchell,John Cameron Mitchell|Miriam Shor|Stephen Trask,3029081282001,USA,6000000
4643,2001,5.7,119,Tim Burton,Mark Wahlberg|Helena Bonham Carter|Tim Roth,180011740252002,USA,100000000
4644,2000,7.4,114,Silvio Soldini,Licia Maglietta|Bruno Ganz|Giuseppe Battiston,5311177222002,Italy,0
4645,1997,7.4,111,Kiyoshi Kurosawa,Masato Hagiwara|Kôji Yakusho|Tsuyoshi Ujiki,9459672001,Japan,1000000
4649,2001,6.7,97,David Wain,Janeane Garofalo|David Hyde Pierce|Michael Showalter,29210252001,USA,5000000
4652,1989,4.5,84,Jim Wynorski,Dick Durock|Heather Locklear|Louis Jourdan,192816,USA,0
4654,1989,6.5,114,Rowdy Herrington,Patrick Swayze|Kelly Lynch|Sam Elliott,30050028,USA,17000000
4655,1989,7.3,102,John Duigan,Raul Julia|Richard Jordan|Ana Alicia,1316495,USA,0
4658,1989,7.7,123,Alejandro Jodorowsky,Axel Jodorowsky|Blanca Guerra|Guy Stockwell,0,Italy,787000
4659,1989,6.5,115,Michael Caton-Jones,John Hurt|Joanne Whalley|Bridget Fonda,8800000,UK,0
4660,1989,6.2,103,Paul Bartel,Jacqueline Bisset|Ray Sharkey|Mary Woronov,2156471,USA,0
4661,1989,6.8,113,Harold Becker,Al Pacino|Ellen Barkin|John Goodman,58571513,USA,19000000
4662,1989,6.8,103,Arthur Hiller,Richard Pryor|Gene Wilder|Joan Severance,46908987,USA,18000000
4663,1989,5.3,90,Stan Dragoti,Tony Danza|Catherine Hicks|Wallace Shawn,12065892,USA,0
4664,1989,7.2,108,Lewis Gilbert,Pauline Collins|Tom Conti|Julia McKenzie,6353913,UK,0
4666,1989,6.1,97,Blake Edwards,John Ritter|Vincent Gardenia|Alyson Reed,19674852,USA,0
4667,1989,5.4,124,James Ivory,Bernadette Peters|Adam Coleman Howard|Chris Sarandon,463972,USA,0
4670,1987,6.8,89,Joseph Ruben,Terry O'Quinn|Jill Schoelen|Shelley Hack,2488740,UK,0
4673,1989,6.3,104,"Andrey Konchalovskiy (as Andrei Konchalovsky),",Sylvester Stallone|Kurt Russell|Teri Hatcher,63408614,USA,55000000
4674,1989,6.5,111,Nick Castle,Gregory Hines|Suzzanne Douglas|Sammy Davis Jr.,9114702,USA,0
4675,1989,6.0,96,Francis Veber,Nick Nolte|Martin Short|Sarah Rowland Doroff,40590000,USA,15000000
4676,1989,5.5,105,Jeff Kanew,Shelley Long|Craig T. Nelson|Betty Thomas,8508843,USA,18000000
4677,1989,6.1,97,Roger Spottiswoode,Tom Hanks|Mare Winningham|Craig T. Nelson,71079915,USA,0
4678,1989,7.0,97,Jay Levey,'Weird Al' Yankovic|Victoria Jackson|Kevin McCarthy,6157157,USA,5000000
4679,1989,7.0,100,John Hughes,John Candy|Macaulay Culkin|Jean Louisa Kelly,66758538,USA,15000000
4680,1988,5.9,103,Robert Bierman,Nicolas Cage|Maria Conchita Alonso|Jennifer Beals,725131,USA,2000000
4681,1989,6.8,116,Danny DeVito,Michael Douglas|Kathleen Turner|Danny DeVito,83699711,USA,0
4682,1989,6.2,103,Steve Miner,Julian Sands|Lori Singer|Richard E. Grant,9094451,USA,7000000
4684,1989,6.0,103,Will Mackenzie,Mark Harmon|Madeleine Stowe|Lesley Ann Warren,3690400,USA,0
4686,1993,4.6,97,Robert Klane,Andrew McCarthy|Jonathan Silverman|Terry Kiser,12741891,USA,7000000
4687,1963,7.5,98,John Schlesinger,Tom Courtenay|Julie Christie|Wilfred Pickles,3560912000,UK,0
4688,1991,7.1,101,Bruce Beresford,Lothaire Bluteau|Aden Young|Sandrine Holt,8211952,Canada,0
4690,1984,6.5,127,Francis Ford Coppola (as Francis Coppola),Richard Gere|Gregory Hines|Diane Lane,25900000,USA,58000000
4691,1985,4.3,88,"Paul Donovan,",Lenore Zann|Maury Chaykin|Kate Lynch,0,Canada,1750000
4692,1984,6.0,109,Tony Richardson,Rob Lowe|Jodie Foster|Paul McCrane,5100000,UK,7500000
4696,1981,6.1,93,Peter Medak,George Hamilton|Lauren Hutton|Brenda Vaccaro,0,USA,0
4697,1982,6.1,91,Frank Henenlotter,Kevin Van Hentenryck|Terri Susan Smith|Beverly Bonner,0,USA,35000
4698,1998,7.1,101,Peter Mullan,Douglas Henshall|Gary Lewis|Rosemarie Stevenson,49501172000,UK,0
4699,2001,6.0,116,Michael Cristofer,Antonio Banderas|Angelina Jolie|Thomas Jane,16252765312001,France,42000000
4700,2001,6.3,111,Garry Marshall,Julie Andrews|Anne Hathaway|Hector Elizondo,108244774112002,USA,26000000
4701,2001,6.6,90,Brett Ratner,Jackie Chan|Chris Tucker|John Lone,226138454142001,USA,90000000
4703,1988,7.4,105,Claire Denis,Isaach De Bankolé|Giulia Boschi|François Cluzet,2317091,France,0
4704,1962,7.2,157,Howard Hawks,John Wayne|Elsa Martinelli|Hardy Krüger,14000000,USA,0
4705,1978,7.3,91,Édouard Molinaro,Ugo Tognazzi|Michel Serrault|Claire Maurier,17921489,France,7000000
4706,1980,5.8,0,Édouard Molinaro,Michel Serrault|Ugo Tognazzi|Marcel Bozzuffi,0,France,0
4709,1969,6.6,158,Joshua Logan,Lee Marvin|Clint Eastwood|Jean Seberg,0,USA,20000000
4710,1976,7.7,100,Don Siegel,John Wayne|Lauren Bacall|Ron Howard,5987000,USA,0
4711,1993,7.4,83,Steven M. Martin,Leon Theremin|Robert Moog|Clara Rockmore,187923,USA,0
4712,1970,7.6,83,François Truffaut,François Truffaut|Jean-Pierre Cargol|Françoise Seigner,61373152010,France,0
4713,1980,6.9,102,Ken Russell,William Hurt|Blair Brown|Bob Balaban,25000000,USA,0
4714,1980,6.0,116,Buddy Van Horn,Clint Eastwood|Sondra Locke|Geoffrey Lewis,0,USA,15000000
4716,1980,7.1,123,Nicolas Roeg,Art Garfunkel|Theresa Russell|Harvey Keitel,0,UK,0
4717,1980,5.8,95,Robert Clouse,Jackie Chan|Kristine DeBell|José Ferrer,0,USA,0
4718,2001,6.4,108,J.B. Rogers,Jason Biggs|Seann William Scott|Shannon Elizabeth,145096820142001,USA,30000000
4719,2001,6.3,95,"Bobby Farrelly,",Laurence Fishburne|Chris Rock|David Hyde Pierce,1359691152001,USA,70000000
4720,2001,7.6,101,Alejandro Amenábar,Nicole Kidman|Christopher Eccleston|Fionnula Flanagan,9647184592001,Spain,17000000
4721,2001,6.0,94,Les Mayfield,Colin Farrell|Scott Caan|Ali Larter,13264986192001,USA,35000000
4722,2001,6.6,95,Julie Davis,Dan Bucatinsky|Richard Ruccolo|Sasha Alexander,100696922001,USA,0
4723,2001,6.7,101,"Scott McGehee (as Scott Mcgehee),",Tilda Swinton|Goran Visnjic|Jonathan Tucker,8821782212001,USA,3000000
4724,2001,7.1,0,John Carney,Cillian Murphy|Tricia Vessey|Martin Carney,0,Ireland,7000000
4725,2001,6.5,100,Brad Anderson,David Caruso|Stephen Gevedon|Paul Guilfoyle,373967122001,USA,1500000
4727,2001,5.9,131,John Madden,Nicolas Cage|Penélope Cruz|John Hurt,25528495122001,UK,57000000
4728,2001,6.4,112,Jerry Zucker,Breckin Meyer|Amy Smart|Whoopi Goldberg,56607223112002,USA,48000000
4731,2000,7.5,94,Paul Cox,Julia Blake|Charles 'Bud' Tingwell|Kristine Van Pellicom,292824122014,Australia,0
4732,2001,5.6,84,Blair Hayes,Jake Gyllenhaal|Swoosie Kurtz|Marley Shelton,5002310122001,USA,13000000
4733,2001,6.8,103,Woody Allen,Greg Stebner|Woody Allen|John Tormey,7496522122001,USA,33000000
4734,2001,6.9,104,Kevin Smith,Jason Mewes|Kevin Smith|Ben Affleck,3005938652001,USA,22000000
4735,2001,4.9,98,John Carpenter,Natasha Henstridge|Ice Cube|Pam Grier,8434601212001,USA,28000000
4736,2001,4.9,108,Michael Tollin (as Mike Tollin),Freddie Prinze Jr.|Jessica Biel|Fred Ward,19693891262001,USA,34000000
4737,2001,6.9,106,Éva Gárdos (as Éva Gardos),Nastassja Kinski|Scarlett Johansson|Raffaella Bánsági,85002352002,USA,0
4738,2000,7.3,110,Brad Anderson,Marisa Tomei|Vincent D'Onofrio|Holland Taylor,688510212001,USA,0
4740,2000,5.7,104,"Ben Elton,",Hugh Laurie|Joely Richardson|Matthew Macfadyen,8351242001,UK,0
4741,2000,7.5,106,Lukas Moodysson,Lisa Lindgren|Michael Nyqvist|Emma Samuelsson,106915612003,Sweden,17000000
4743,2001,6.6,102,Maria Ripoll,Hector Elizondo|Jacqueline Obradors|Tamara Mello,4447014142001,USA,0
4744,2001,6.1,90,Victor Salva,Gina Philips|Justin Long|Jonathan Breck,37470017192001,Germany,10000000
4745,2001,6.2,95,Tim Blake Nelson,Mekhi Phifer|Julia Stiles|Martin Sheen,1601740322001,USA,5000000
4748,1992,5.2,84,Jon Turteltaub,Victor Wong|Michael Treanor|Max Elliott Slade,29000301,USA,6500000
4749,1994,4.3,93,Charles T. Kanganis,Victor Wong|Max Elliott Slade|Sean Fox,11784000,USA,20000000
4750,1995,4.1,85,Sang-ok Shin (as Simon S. Sheen),Victor Wong|Charles Napier|Michael Treanor,407618,USA,0
4751,1980,6.4,97,Buzz Kulik,Steve McQueen|Eli Wallach|Kathryn Harrold,0,USA,8000000
4752,1980,6.5,87,William Lustig,Joe Spinell|Caroline Munro|Abigail Clayton,0,USA,350000
4753,1986,5.9,93,Richard Wenk,Chris Makepeace|Sandy Baron|Robert Rusler,4941117,USA,3300000
4754,1973,7.6,88,Robin Hardy,Edward Woodward|Christopher Lee|Diane Cilento,60891102014,UK,500000
4755,1996,6.9,90,Blair Treu,Katherine Heigl|Danielle Harris|Donnie Jeffcoat,0,USA,0
4756,2001,4.7,104,Peter Hyams,Justin Chambers|Catherine Deneuve|Mena Suvari,27053815192001,Germany,40000000
4757,2001,6.2,105,Stephen Herek,Mark Wahlberg|Jennifer Aniston|Dominic West,16991902262001,USA,57000000
4761,2000,7.1,100,Dan Cohen (as Daniel M. Cohen),Robert Forster|Donnie Wahlberg|Bess Armstrong,0,USA,0
4763,2000,6.8,104,Yongyoot Thongkongtoon,Jesdaporn Pholdee|Sahaphap Tor|Ekachai Buranapanit,110825152002,Thailand,0
4765,2001,7.2,97,Michael Cuesta,Brian Cox|Paul Dano|Bruce Altman,1141829222002,USA,700000
4766,2000,6.8,101,Barbet Schroeder,Germán Jaramillo|Anderson Ballesteros|Juan David Restrepo,525029192002,Spain,0
4767,1955,6.5,79,Charles Lamont,Bud Abbott|Lou Costello|Marie Windsor,0,USA,738000
4768,1922,7.9,297,Fritz Lang,Rudolf Klein-Rogge|Aud Egede-Nissen|Gertrude Welcker,0,Germany,0
4769,2000,7.8,122,Mark Jonathan Harris,Judi Dench|Lory Cahn|Kurt Fuchel,374555152000,UK,0
4770,2001,5.8,106,Daniel Sackheim,Diane Lane|Leelee Sobieski|Stellan Skarsgård,17951431162001,USA,30000000
4771,2001,6.4,106,Brian Robbins,Keanu Reeves|Diane Lane|John Hawkes,40219708182002,USA,32000000
4772,2000,7.3,99,Bob Giraldi,Danny Aiello|Edoardo Ballerini|John Rothman,110000282001,USA,0
4774,2002,6.5,85,Barry Sonnenfeld,Tim Allen|Rene Russo|Stanley Tucci,7262288142002,USA,40000000
4775,2001,2.2,104,Vondie Curtis-Hall (as Vondie Curtis Hall),Mariah Carey|Eric Benét|Max Beesley,4273372262001,USA,22000000
4776,2001,7.7,122,Antoine Fuqua,Denzel Washington|Ethan Hawke|Scott Glenn,76261036212001,USA,45000000
4782,2001,6.5,108,Edward Burns,Edward Burns|Heather Graham|Penny Balfour,2402459102002,USA,1000000
4783,2000,7.9,97,George Butler,Liam Neeson|Julian Ayer|John Blackborow,245256682002,USA,0
4784,1981,7.0,124,Karel Reisz,Meryl Streep|Jeremy Irons|Hilton McRae,0,UK,0
4787,1991,6.6,99,Jodie Foster,Jodie Foster|Dianne Wiest|Adam Hann-Byrd,25010896,USA,10000000
4789,1974,7.4,92,Brian De Palma,Paul Williams|William Finley|Jessica Harper,0,USA,1300000
4792,1960,6.1,85,William Castle,Charles Herbert|Jo Morrow|Martin Milner,0,USA,0
4795,1964,7.4,118,Ralph Nelson,Cary Grant|Leslie Caron|Trevor Howard,0,USA,0
4796,1960,6.6,104,Stanley Donen,Cary Grant|Deborah Kerr|Robert Mitchum,0,UK,0
4798,1958,6.8,100,Stanley Donen,Cary Grant|Ingrid Bergman|Cecil Parker,0,UK,0
4799,1963,7.6,154,Stanley Kramer,Spencer Tracy|Milton Berle|Ethel Merman,46300000,USA,9400000
4800,1937,6.5,77,Robert Stevenson,Paul Robeson|Cedric Hardwicke|Roland Young,0,UK,0
4801,1941,8.2,116,William Wyler,Bette Davis|Herbert Marshall|Teresa Wright,0,USA,0
4802,1959,7.3,124,Blake Edwards,Cary Grant|Tony Curtis|Joan O'Brien,0,USA,0
4803,1971,7.0,102,Clint Eastwood,Clint Eastwood|Jessica Walter|Donna Mills,0,USA,725000
4804,1961,7.3,136,Frank Capra,Glenn Ford|Bette Davis|Hope Lange,0,USA,2900000
4806,1965,8.1,128,"Ján Kadár,",Ida Kaminska|Jozef Kroner|Hana Slivková,0,Czechoslovakia,0
4809,1983,7.2,131,Mike Nichols,Meryl Streep|Kurt Russell|Cher,35600000,USA,10000000
4810,1977,6.6,96,Anthony Page,Bibi Andersson|Kathleen Quinlan|Ben Piazza,0,USA,0
4811,1979,7.3,120,Franc Roddam,Phil Daniels|Leslie Ash|Phil Davis,0,UK,0
4812,1986,5.6,107,Harry Winer,Kate Capshaw|Lea Thompson|Kelly Preston,9697739,USA,18000000
4814,2001,6.3,113,Gary Fleder,Michael Douglas|Sean Bean|Brittany Murphy,54997476252002,USA,50000000
4815,2001,6.9,101,Scott Hicks,Anthony Hopkins|Anton Yelchin|Hope Davis,24185781302001,USA,31000000
4816,2001,6.6,90,Ben Stiller,Ben Stiller|Owen Wilson|Christine Taylor,4516274142002,Germany,28000000
4818,2001,5.9,93,Eric Hannah,Dante Basco|Ryan Browning|A.J. Buckley,73939052001,USA,0
4821,2001,6.6,97,John Dahl,Matthew Kimbrough|Leelee Sobieski|Steve Zahn,2197318242002,USA,23000000
4822,2001,5.4,86,Tim Hill,Alex D. Linz|Larry Miller|Jamie Kennedy,17292381222002,USA,25000000
4823,2001,6.9,90,Peter Chelsom,John Cusack|Kate Beckinsale|Jeremy Piven,49968653212001,USA,28000000
4826,1980,7.2,113,Samuel Fuller,Lee Marvin|Mark Hamill|Robert Carradine,0,USA,4500000
